top - 22:23:30 up  3:40,  1 user,  load average: 0.25, 0.46, 0.27
Tasks: 311 total,   1 running, 310 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.4 us, 11.1 sy,  0.0 ni, 81.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    233.6 free,   1943.1 used,   1708.5 buff/cache     
MiB Swap:   3730.0 total,   3729.5 free,      0.5 used.   1924.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9109 dev-nic+  20   0   14500   5408   3360 R  23.1   0.1   0:00.06 top
   8118 root      20   0       0      0      0 I   7.7   0.0   0:11.71 kworker+
      1 root      20   0   23124  14084   9476 S   0.0   0.4   0:02.65 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.81 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:02.44 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.88 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.20 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.06 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:01.29 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
